;FECHA;DESDE;HASTA;LINEA;MOLINETE;ID_ESTACION;ESTACION;PAX_PAGOS;PAX_PASES_PAGOS;PAX_FREQ;TOTAL
46;1/9/2019;08:15:00;08:30:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;41;0;0;41
47;1/9/2019;08:15:00;08:30:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;54;0;1;55
48;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;34;0;2;36
49;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;18;0;0;18
50;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;2;0;0;2
51;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;60;0;0;60
52;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;26;0;0;26
53;1/9/2019;08:30:00;08:45:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;6;0;0;6
54;1/9/2019;08:45:00;09:00:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;27;0;2;29
55;1/9/2019;08:45:00;09:00:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;17;0;0;17
56;1/9/2019;08:45:00;09:00:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;5;0;0;5
57;1/9/2019;08:45:00;09:00:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;46;0;0;46
58;1/9/2019;08:45:00;09:00:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;28;0;0;28
59;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;23;0;1;24
60;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;4;0;0;4
61;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;7;0;1;8
62;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;29;0;1;30
63;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;2;0;0;2
64;1/9/2019;09:00:00;09:15:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;46;0;0;46
65;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;27;0;0;27
66;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;3;0;0;3
67;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;22;0;0;22
68;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;36;0;0;36
69;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;6;0;0;6
70;1/9/2019;09:15:00;09:30:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;58;0;1;59
71;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;0;0;0;0
72;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;8;0;0;8
73;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;46;0;0;46
74;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;37;0;3;40
75;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;1;0;0;1
76;1/9/2019;09:30:00;09:45:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;18;0;0;18
77;1/9/2019;09:45:00;10:00:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;4;0;0;4
78;1/9/2019;09:45:00;10:00:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;4;0;0;4
79;1/9/2019;09:45:00;10:00:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;41;1;1;43
80;1/9/2019;09:45:00;10:00:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;39;0;1;40
81;1/9/2019;09:45:00;10:00:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;21;0;0;21
82;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;14;0;0;14
83;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;3;0;0;3
84;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;50;0;3;53
85;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;30;0;1;31
86;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;8;0;1;9
87;1/9/2019;10:00:00;10:15:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;15;0;1;16
88;1/9/2019;10:15:00;10:30:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;24;0;3;27
89;1/9/2019;10:15:00;10:30:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;4;0;1;5
90;1/9/2019;10:15:00;10:30:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;38;0;1;39
91;1/9/2019;10:15:00;10:30:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;14;0;0;14
92;1/9/2019;10:15:00;10:30:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;23;0;1;24
93;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;23;0;1;24
94;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;23;0;0;23
95;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;14;0;1;15
96;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;1;0;0;1
97;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_SO_Turn01;6;9 DE JULIO;55;0;1;56
98;1/9/2019;10:30:00;10:45:00;D;LineaD_9Julio_SO_Turn02;6;9 DE JULIO;33;0;2;35
99;1/9/2019;10:45:00;11:00:00;D;LineaD_9Julio_S_Turn01;6;9 DE JULIO;21;0;1;22
100;1/9/2019;10:45:00;11:00:00;D;LineaD_9Julio_S_Turn02;6;9 DE JULIO;8;0;1;9
101;1/9/2019;10:45:00;11:00:00;D;LineaD_9Julio_N_Turn01;6;9 DE JULIO;15;0;1;16
102;1/9/2019;10:45:00;11:00:00;D;LineaD_9Julio_S_Turn03;6;9 DE JULIO;4;0;0;4
